Conditions;ICD-10;ICD-11
Familial abdominal aortic aneurysm;I71.4;BD50.4Z
Apert syndrome;Q87.0;LD24.G2
Idiopathic aplastic anemia;D61.3;3A70.12
Idiopathic aplastic anemia;D61.3;3A70.12
Idiopathic aplastic anemia;D61.3;3A70.12
Idiopathic aplastic anemia;D61.3;3A70.12
Argininemia;E72.2;5C50.A2
Aromatase deficiency;E25.8;5A9Y
Aspartylglucosaminuria;E77.1;5C56.21
Friedreich ataxia;G11.1;8A03.10
Ataxia with vitamin E deficiency;G11.1;8A03.10
Familial paroxysmal ataxia;G11.8;8A03.14
Autosomal recessive spastic ataxia of Charlevoix-Saguenay;G11.1;8A03.1Y
Ataxia-telangiectasia;G11.3;4A01.31
Dentatorubral pallidoluysian atrophy;G11.8;8A01.12
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
Leber hereditary optic neuropathy;H47.2;8C73.Y
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
NON RARE IN EUROPE: Autism;F84.0;
BOR syndrome;Q87.8;LD2F.1Y
BOR syndrome;Q87.8;LD2F.1Y
BOR syndrome;Q87.8;LD2F.1Y
Bannayan-Riley-Ruvalcaba syndrome;Q87.8;LD2D.Y
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Bardet-Biedl syndrome;Q87.8;5A61.0
Barth syndrome;E71.1;5C50.E0
Congenital contractural arachnodactyly;Q68.8;LD28.00
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Behçet disease;M35.2;4A62
Beta-mannosidosis;E77.1;5C56.21
Beta-sarcoglycan-related limb-girdle muscular dystrophy R4;G71.0;8C70.41
Birt-Hogg-Dubé syndrome;C44.9;LD27.5
Björnstad syndrome;E88.8;EC21.1
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Blackfan-Diamond anemia;;
Bloom syndrome;Q87.1;4A01.31
Borjeson-Forssman-Lehmann syndrome;Q87.8;LD29
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Brugada syndrome;I49.8;BC65.1
Budd-Chiari syndrome;I82.0;DB98.5
Budd-Chiari syndrome;I82.0;DB98.5
Budd-Chiari syndrome;I82.0;DB98.5
Butyrylcholinesterase deficiency;;
Chronic beryllium disease;J63.2;CA60.6
Beta-ketothiolase deficiency;E71.1;5C50.DY
Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy;I67.8;8B22.C0
CHARGE syndrome;Q87.8;5A61.0
CHARGE syndrome;Q87.8;5A61.0
CHILD syndrome;Q87.8;LD24.04
Campomelic dysplasia;Q87.1;LD2A.Y
Parathyroid carcinoma;C75.0;2D12.Y
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Lynch syndrome;D48.9;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Hereditary breast and ovarian cancer syndrome;;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Differentiated thyroid carcinoma;C73;
Carbamoyl-phosphate synthetase 1 deficiency;E72.2;5C50.A1
Nasopharyngeal carcinoma;C11.0;2E60.0
Nasopharyngeal carcinoma;C11.1;2E60.0
Nasopharyngeal carcinoma;C11.2;2E60.0
Nasopharyngeal carcinoma;C11.3;2E60.0
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
Familial isolated dilated cardiomyopathy;I42.0;BC43.00
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy;;
Carnitine palmitoyl transferase 1A deficiency;E71.3;5C52.00
Systemic primary carnitine deficiency;E71.3;5C52.00
Carnitine-acylcarnitine translocase deficiency;E71.3;5C52.00
Cataract-glaucoma syndrome;;
Hereditary hyperferritinemia-cataract syndrome;H26.0;
Chédiak-Higashi syndrome;E70.3;EC23.20
Woolly hair;Q84.1;EC21.0
Woolly hair;Q84.1;EC21.0
Woolly hair;Q84.1;EC21.0
Woolly hair;Q84.1;EC21.0
Woolly hair;Q84.1;EC21.0
Primary sclerosing cholangitis;K83.0;DB96.2
Primary sclerosing cholangitis;K83.0;DB96.2
Primary sclerosing cholangitis;K83.0;DB96.2
Primary sclerosing cholangitis;K83.0;DB96.2
Metaphyseal chondrodysplasia, Schmid type;Q78.5;LD24.7
Chordoma;C76.7;2B5J
Birdshot chorioretinopathy;H30.1;9B65.0
Choroideremia;H31.2;9B61
X-linked hypohidrotic ectodermal dysplasia;Q82.4;LD27.02
X-linked hypohidrotic ectodermal dysplasia;Q82.4;LD27.02
Cherubism;K10.8;LD24.22
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Primary biliary cholangitis;K74.3;DB96.1
Hidrotic ectodermal dysplasia;Q82.8;LD27.03
Hidrotic ectodermal dysplasia;Q82.8;LD27.0Y
Coats disease;H35.0;LD21.Y
Coffin-Lowry syndrome;Q87.0;LD2F.1Y
Cohen syndrome;Q87.8;LD90.Y
Occipital horn syndrome;E83.0;LD28.2
Cornelia de Lange syndrome;Q87.1;LD2F.1Y
Cornelia de Lange syndrome;Q87.1;LD2F.1Y
Cornelia de Lange syndrome;Q87.1;LD2F.1Y
Cornelia de Lange syndrome;Q87.1;LD2F.1Y
Cornelia de Lange syndrome;Q87.1;LD2F.1Y
Cornelia de Lange syndrome;Q87.1;LD2F.1Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
Cowden syndrome;Q85.8;LD2D.Y
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
NON RARE IN EUROPE: Crohn disease;;
Crouzon syndrome;Q75.1;LD24.G1
Crouzon syndrome;Q75.1;LD24.G1
Familial cylindromatosis;D23.4;2F22
Familial cylindromatosis;D23.5;2F22
Cystathioninuria;E72.1;5C50.B
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Congenital stationary night blindness;H53.6;9D45
Darier disease;Q82.8;EC20.2
Delta-sarcoglycan-related limb-girdle muscular dystrophy R6;G71.0;8C70.41
Denys-Drash syndrome;N04.1;LD2A.Y
Nephrogenic diabetes insipidus;N25.1;
Nephrogenic diabetes insipidus;N25.1;
Dihydropteridine reductase deficiency;E70.1;5C59.01
Familial aortic dissection;I71.0;BD50.Z
Dopamine beta-hydroxylase deficiency;G90.8;5C59.00
Sickle cell anemia;D57.0;3A51.1
Sickle cell anemia;D57.0;3A51.2
Sickle cell anemia;D57.1;3A51.1
Sickle cell anemia;D57.1;3A51.2
Sickle cell anemia;D57.2;3A51.1
Sickle cell anemia;D57.2;3A51.2
Duane retraction syndrome;H50.8;9C82.2
Duane retraction syndrome;H50.8;9C82.2
Duane retraction syndrome;H50.8;9C82.2
Dubin-Johnson syndrome;E80.6;5C58.02
Dubowitz syndrome;Q87.1;LD27.0Y
Dubowitz syndrome;Q87.1;LD27.0Y
Dyggve-Melchior-Clausen disease;Q77.7;LD24.3
Léri-Weill dyschondrosteosis;Q77.8;LD24.A
Dyschromatosis universalis hereditaria;L81.8;EC23.Y
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XY complete gonadal dysgenesis;Q99.1;LD2A.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
46,XX gonadal dysgenesis;Q99.1;LB45.1
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
Primary ciliary dyskinesia;Q34.8;LA75.Y
